,epoch,fitness_estimate,crossover_used,pop_gen_used,im_size
135,13500,16.6645951315,crossover_1,random_image_array_1,"(305,264)"
136,13600,16.6608758918,crossover_1,random_image_array_1,"(305,264)"
137,13700,16.5943836427,crossover_1,random_image_array_1,"(305,264)"
138,13800,16.5717103327,crossover_1,random_image_array_1,"(305,264)"
139,13900,16.557279384,crossover_1,random_image_array_1,"(305,264)"
140,14000,16.5564602323,crossover_1,random_image_array_1,"(305,264)"
141,14100,16.5089990066,crossover_1,random_image_array_1,"(305,264)"
142,14200,16.505744218,crossover_1,random_image_array_1,"(305,264)"
143,14300,16.4817695013,crossover_1,random_image_array_1,"(305,264)"
144,14400,16.4763196576,crossover_1,random_image_array_1,"(305,264)"
145,14500,16.4455079,crossover_1,random_image_array_1,"(305,264)"
146,14600,16.4436339607,crossover_1,random_image_array_1,"(305,264)"
147,14700,16.4436339607,crossover_1,random_image_array_1,"(305,264)"
148,14800,16.4029850548,crossover_1,random_image_array_1,"(305,264)"
149,14900,16.4029651308,crossover_1,random_image_array_1,"(305,264)"
150,14999,16.3794173301,crossover_1,random_image_array_1,"(305,264)"
